Angle, Distance
1,130
2,130
3,130
4,130
5,130
6,130
7,130
8,130
9,130
10,130
11,130
12,130
13,130
14,130
15,130
16,130
17,130
18,130
19,130
20,130
21,130
22,130
23,130
24,130
25,130
26,130
27,130
28,130
29,130
30,130
31,130
32,130
33,130
34,130
35,130
36,130
37,130
38,130
39,130
40,130
41,130
42,130
43,130
44,130
45,130
46,130
47,130
48,130
49,130
50,130
51,130
52,130
53,126
54,126
55,126
56,122
57,122
58,122
59,118
60,118
61,118
62,118
63,118
64,118
65,114
66,114
67,114
68,118
69,114
70,114
71,114
72,114
73,114
74,114
75,114
76,114
77,114
78,114
79,114
80,114
81,114
82,114
83,114
84,114
85,114
86,114
87,114
88,114
89,114
90,114
91,114
92,114
93,109
94,114
95,112
96,112
97,112
98,112
99,112
100,112
101,112
102,109
103,112
104,112
105,112
106,112
107,112
108,112
109,112
110,112
111,112
112,112
113,112
114,112
115,112
116,112
117,112
118,112
119,112
120,112
121,112
122,112
123,112
124,114
125,114
126,114
127,114
128,113
129,113
130,113
131,118
132,118
133,118
134,118
135,118
136,118
137,118
138,118
139,122
140,122
141,122
142,122
143,122
144,122
145,122
146,122
147,126
148,126
149,126
150,130
151,130
152,130
153,130
154,130
155,139
156,139
157,139
158,139
159,139
160,139
161,139
162,139
163,139
164,139
165,139
